ds,yhat,yhat_lower,yhat_upper
1985-01-01,85.0648379110898,56.21071400745593,116.35824618942166
1986-01-01,110.08585842972508,80.96529467463456,138.47375850318582
1987-01-01,129.52184046426552,101.43406462982456,160.0531914149491
1988-01-01,143.36738318834497,112.38501085896932,174.5366781199029
1989-01-01,157.1921704521149,126.81109082213281,185.99933626952432
1990-01-01,182.21319106141834,154.05830608972872,211.31754566296078
1991-01-01,201.64917390977755,170.51463676659984,232.49283009549913
1992-01-01,215.49471755188642,187.51725761761372,242.8246163798838
1993-01-01,229.319514282189,201.49653460108823,259.09309544512473
1994-01-01,254.34054421328483,224.42339462328047,283.8005012584555
1995-01-01,273.7856408629967,244.57511487261854,302.1188295635588
1996-01-01,287.64220429480997,257.3232064746506,315.00433900120044
1997-01-01,301.47925566234943,270.8597661609447,330.0666600936133
1998-01-01,326.5197384119034,293.364852268428,353.8593390230765
1999-01-01,345.97518269125686,313.7204556214561,376.1691745491948
2000-01-01,359.84730069975717,331.9361558506631,389.67559117625876
2001-01-01,373.69938641617847,345.14081554734287,402.31454449131127
2002-01-01,398.7482042884997,368.77923215305674,428.23390242562783
2003-01-01,418.21216867598787,387.3427719396579,446.9685052277764
2004-01-01,432.0856937674286,402.03390566315016,460.29277040697656
2005-01-01,445.9419768940186,417.17155257995665,476.9157897951045
2006-01-01,470.9945021936116,441.01661345660557,498.7920076858597
2007-01-01,490.47062914188706,460.0942723118505,522.0771780170618
2008-01-01,531.1453808792018,499.71499897709947,556.6792164793407
2009-01-01,571.8728818384832,541.9099000166556,601.9616120589433
2010-01-01,623.7317793485864,594.5671391848146,652.57434369767
2011-01-01,670.0250976164202,641.7001419936297,701.5937106465175
2012-01-01,710.745261751114,679.6512622984869,741.7757733604418
2013-01-01,751.5341117462631,722.6718517103748,779.8292169114352
2014-01-01,803.4455226653605,774.966694953404,833.91364243329
2015-01-01,849.7718951776721,818.7818350036055,880.2732284492652
2016-01-01,890.5078283578257,862.396586367129,919.3983128337975
2017-01-01,931.2966784347647,903.3194061848412,963.7308157632602
2018-01-01,983.2080894355789,955.475177349759,1012.8907816169631
2019-01-01,1029.534461966154,1000.5486890559615,1058.8699172261847
2020-01-01,1070.270395200581,1041.4529196774606,1101.1728135913115
2021-01-01,1111.059245277573,1080.1760906945933,1139.528997921452
2022-01-01,1162.9706562783806,1132.0923201379915,1191.6431696951379
2023-01-01,1209.2970288088923,1178.3337761983196,1237.4984824684554
2024-01-01,1250.0329620434063,1218.591034372413,1280.751410876055
2024-12-31,1285.18278573231,1255.0573931025315,1315.7801906412128
2025-12-31,1314.76055453765,1285.239370984187,1345.6267500614636
2026-12-31,1338.7900260243578,1309.0286562999613,1370.0348543482553
2027-12-31,1357.3046223435142,1326.5159257453731,1387.8833110477242
2028-12-31,1464.9453525750569,1433.8203757082051,1492.7252779788234
2029-12-31,1494.5231213802422,1462.6740723405821,1527.8827345558536
2030-12-31,1518.5525928670745,1484.2625284165265,1553.6514580448384
2031-12-31,1537.0671891857735,1503.4376793960641,1574.0345684641266
2032-12-31,1644.7079194176604,1606.6397710369924,1683.459530287253
2033-12-31,1674.2856882231545,1635.211076599844,1716.9596945457622
